iter	Passed	Remaining
0	5	1644
1	11	1741
2	17	1767
3	23	1769
4	29	1758
5	35	1754
6	41	1738
7	47	1745
8	53	1732
9	59	1731
10	65	1724
11	71	1705
12	76	1695
13	82	1689
14	88	1685
15	94	1679
16	100	1678
17	106	1674
18	113	1673
19	119	1666
20	124	1656
21	130	1653
22	137	1652
23	143	1648
24	149	1643
25	155	1633
26	160	1625
27	166	1619
28	172	1607
29	177	1599
30	183	1594
31	189	1588
32	195	1580
33	201	1577
34	210	1596
35	216	1587
36	222	1582
37	232	1603
38	239	1602
39	245	1595
40	251	1590
41	257	1583
42	263	1574
43	269	1568
44	275	1563
45	282	1559
46	288	1555
47	295	1548
48	301	1544
49	306	1534
50	313	1528
51	319	1523
52	325	1516
53	331	1509
54	336	1499
55	342	1492
56	348	1485
57	353	1475
58	360	1470
59	366	1464
60	373	1463
61	378	1454
62	384	1447
63	390	1441
64	396	1433
65	402	1428
66	408	1421
67	414	1415
68	424	1421
69	432	1421
70	438	1413
71	443	1403
72	449	1397
73	455	1392
74	462	1387
75	468	1381
76	474	1375
77	481	1369
78	487	1363
79	494	1358
80	499	1350
81	504	1342
82	510	1335
83	515	1326
84	521	1319
85	526	1311
86	532	1304
87	538	1297
88	543	1289
89	549	1282
90	555	1276
91	561	1269
92	567	1263
93	573	1256
94	579	1250
95	585	1243
96	591	1237
97	597	1231
98	603	1225
99	609	1218
100	614	1211
101	620	1205
102	627	1199
103	633	1193
104	639	1187
105	645	1181
106	650	1173
107	657	1168
108	663	1162
109	669	1157
110	676	1151
111	682	1146
112	688	1139
113	694	1133
114	700	1127
115	706	1121
116	712	1114
117	719	1109
118	724	1102
119	730	1095
120	736	1089
121	742	1083
122	748	1077
123	754	1071
124	761	1065
125	766	1058
126	773	1053
127	779	1047
128	785	1041
129	791	1035
130	797	1028
131	804	1023
132	811	1018
133	816	1012
134	823	1006
135	835	1006
136	840	999
137	846	993
138	852	987
139	859	981
140	868	979
141	875	973
142	881	967
143	887	961
144	893	954
145	898	948
146	905	942
147	911	935
148	917	929
149	923	923
150	928	916
151	934	909
152	940	903
153	947	897
154	953	891
155	961	887
156	967	881
157	974	875
158	980	869
159	986	862
160	992	856
161	998	850
162	1007	846
163	1014	841
164	1021	835
165	1028	830
166	1035	824
167	1041	817
168	1047	811
169	1053	805
170	1059	799
171	1065	792
172	1070	786
173	1076	779
174	1082	773
175	1087	766
176	1094	760
177	1100	754
178	1107	748
179	1113	742
180	1118	735
181	1124	729
182	1131	723
183	1136	716
184	1142	710
185	1148	703
186	1154	697
187	1159	690
188	1165	684
189	1172	678
190	1178	672
191	1184	666
192	1190	660
193	1197	654
194	1203	647
195	1210	642
196	1216	635
197	1223	630
198	1229	624
199	1235	617
200	1240	611
201	1247	605
202	1252	598
203	1259	592
204	1264	586
205	1270	579
206	1276	573
207	1282	567
208	1289	561
209	1294	554
210	1301	548
211	1307	542
212	1313	536
213	1319	530
214	1325	523
215	1331	517
216	1336	511
217	1342	504
218	1349	499
219	1355	492
220	1361	486
221	1366	480
222	1372	474
223	1378	467
224	1384	461
225	1390	455
226	1396	449
227	1402	443
228	1408	436
229	1414	430
230	1419	424
231	1425	417
232	1432	411
233	1437	405
234	1443	399
235	1450	393
236	1456	387
237	1462	380
238	1467	374
239	1473	368
240	1479	362
241	1485	356
242	1490	349
243	1496	343
244	1501	337
245	1508	331
246	1513	324
247	1519	318
248	1526	312
249	1531	306
250	1537	300
251	1543	293
252	1548	287
253	1554	281
254	1559	275
255	1565	268
256	1571	262
257	1577	256
258	1583	250
259	1589	244
260	1595	238
261	1603	232
262	1609	226
263	1615	220
264	1621	214
265	1627	208
266	1633	201
267	1639	195
268	1645	189
269	1651	183
270	1657	177
271	1663	171
272	1669	165
273	1675	159
274	1681	152
275	1688	146
276	1694	140
277	1699	134
278	1705	128
279	1711	122
280	1717	116
281	1722	109
282	1728	103
283	1734	97
284	1739	91
285	1746	85
286	1752	79
287	1757	73
288	1764	67
289	1770	61
290	1776	54
291	1782	48
292	1788	42
293	1794	36
294	1799	30
295	1806	24
296	1813	18
297	1820	12
298	1826	6
299	1832	0
